YEAR,CAMPUS ID,CAMPUS NAME,DISTRICT ID,AP PARTICIPATION RATE
2015,1903001,Elkhart H S,1903,9.6
2015,1907001,Palestine H S,1907,4.8
2015,1908002,Westwood H S,1908,5.5
2015,2901001,Andrews H S,2901,18.5
2015,3902001,Hudson H S,3902,11.3
2015,3903001,Lufkin H S,3903,20.5
2015,3905001,Diboll H S,3905,16.4
2015,3907001,Central H S,3907,10.7
2015,4901001,Rockport-Fulton H S,4901,18.0
2015,5901001,Archer City H S,5901,25.3
2015,5902001,Holliday H S,5902,29.4
2015,5904001,Windthorst H S,5904,1.1
2015,6902001,Claude H S,6902,1.9
2015,7902001,Jourdanton H S,7902,12.2
2015,7904001,Lytle H S,7904,5.2
2015,7905001,Pleasanton H S,7905,16.3
2015,7906001,Poteet H S,7906,10.6
2015,8901001,Bellville H S,8901,12.2
2015,8902001,Sealy H S,8902,30.3
2015,9901001,Muleshoe H S,9901,0.6
2015,10902001,Bandera H S,10902,13.2
2015,11901001,Bastrop H S,11901,17.2
2015,11901002,Cedar Creek H S,11901,28.5
2015,11901005,Colorado River Collegiate Academy,11901,
2015,11902001,Elgin H S,11902,23.3
2015,11904002,Smithville H S,11904,9.9
2015,12901001,Seymour H S,12901,1.4
2015,13901001,A C Jones H S,13901,7.5
2015,13903001,Pettus Secondary,13903,9.8
2015,13905001,Skidmore-Tynan H S,13905,26.1
2015,14804006,Gateway College Preparatory School,14804,50.9
2015,14901001,Academy H S,14901,17.6
2015,14903001,Belton H S,14903,16.5
2015,14903005,Belton New Tech H S At Waskow,14903,30.0
2015,14906001,Killeen H S,14906,27.9
2015,14906002,C E Ellison H S,14906,19.0
2015,14906007,Harker Heights H S,14906,25.2
2015,14906008,Robert M Shoemaker H S,14906,25.4
2015,14907001,Rogers H S,14907,17.3
2015,14908001,Salado H S,14908,27.3
2015,14909002,Temple H S,14909,20.5
2015,14910001,Troy H S,14910,15.8
2015,15801001,Por Vida Academy Charter H S,15801,5.0
2015,15802001,George Gervin Academy,15802,2.9
2015,15806001,Rick Hawkins H S,15806,3.3
2015,15806003,Milton B Lee Academy Of Science &,15806,3.3
2015,15808001,John H Wood Jr Charter School At A,15808,22.2
2015,15815041,Radiance Academy Of Learning (Del,15815,2.4
2015,15819105,West Columbia Charter Sch,15819,5.3
2015,15826001,Kipp University Prep H S,15826,36.4
2015,15827001,School Of Science And Technology,15827,46.8
2015,15828001,Harmony Science Acad (San Antonio),15828,51.3
2015,15828002,Harmony School Of Innovation - San,15828,
