YEAR,CAMPUS ID,ASIAN,NATIVE AMERICAN,BLACK,HISPANIC,HAWAIIAN,TWO RACES,WHITE
2015,108902006.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0
2015,116905108.0,4.0,4.0,53.0,129.0,4.0,9.0,121.0
2015,21901001.0,151.0,6.0,246.0,392.0,0.0,66.0,886.0
2015,21901042.0,61.0,4.0,155.0,230.0,0.0,26.0,428.0
2015,77901101.0,0.0,0.0,17.0,379.0,0.0,4.0,70.0
2015,147903103.0,11.0,4.0,190.0,314.0,0.0,23.0,135.0
2015,205901041.0,0.0,4.0,4.0,254.0,0.0,11.0,151.0
2015,13901001.0,8.0,4.0,16.0,795.0,4.0,7.0,141.0
2015,116908101.0,4.0,4.0,4.0,108.0,0.0,12.0,381.0
2015,126905103.0,4.0,4.0,6.0,147.0,4.0,10.0,374.0
2015,15904042.0,0.0,0.0,4.0,798.0,0.0,4.0,4.0
2015,170908104.0,4.0,4.0,7.0,458.0,0.0,6.0,118.0
2015,108902104.0,0.0,0.0,0.0,426.0,0.0,4.0,4.0
2015,220905153.0,4.0,4.0,376.0,101.0,0.0,9.0,5.0
2015,57905003.0,4.0,4.0,120.0,291.0,4.0,5.0,14.0
2015,108913113.0,4.0,0.0,0.0,859.0,0.0,0.0,4.0
2015,20905102.0,13.0,4.0,24.0,188.0,4.0,21.0,291.0
2015,108902045.0,0.0,0.0,4.0,732.0,0.0,0.0,4.0
2015,220917101.0,4.0,0.0,11.0,608.0,0.0,10.0,175.0
2015,57816102.0,4.0,4.0,1242.0,25.0,4.0,4.0,5.0
2015,57829001.0,0.0,0.0,33.0,885.0,0.0,17.0,40.0
2015,146902007.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0
2015,139911102.0,4.0,10.0,6.0,19.0,0.0,20.0,188.0
2015,43914042.0,25.0,6.0,61.0,142.0,4.0,18.0,404.0
2015,57909143.0,93.0,8.0,73.0,210.0,0.0,20.0,278.0
2015,109901001.0,4.0,0.0,0.0,25.0,0.0,5.0,233.0
2015,165901047.0,22.0,4.0,87.0,581.0,0.0,10.0,308.0
2015,95901003.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2015,95901101.0,0.0,4.0,4.0,228.0,0.0,4.0,134.0
2015,95901001.0,4.0,0.0,4.0,115.0,0.0,4.0,91.0
2015,95901041.0,0.0,4.0,4.0,119.0,0.0,4.0,73.0
2015,221901142.0,0.0,0.0,4.0,11.0,0.0,4.0,22.0
2015,221901001.0,28.0,7.0,261.0,856.0,0.0,60.0,713.0
2015,71902171.0,0.0,0.0,4.0,10.0,0.0,0.0,4.0
2015,15908043.0,0.0,4.0,4.0,469.0,4.0,4.0,4.0
2015,220902116.0,24.0,14.0,74.0,298.0,4.0,31.0,249.0
2015,220902111.0,15.0,0.0,7.0,585.0,4.0,6.0,85.0
2015,14901101.0,5.0,4.0,22.0,133.0,4.0,9.0,371.0
2015,221901010.0,4.0,4.0,24.0,133.0,0.0,12.0,219.0
2015,14901001.0,6.0,4.0,8.0,92.0,0.0,11.0,293.0
2015,14901041.0,4.0,4.0,13.0,89.0,0.0,11.0,287.0
2015,101810002.0,8.0,16.0,297.0,418.0,0.0,5.0,4.0
2015,15816001.0,0.0,4.0,33.0,163.0,0.0,4.0,21.0
2015,101920016.0,0.0,4.0,9.0,100.0,4.0,4.0,30.0
2015,15910008.0,0.0,4.0,8.0,103.0,0.0,4.0,45.0
2015,57810101.0,0.0,0.0,507.0,131.0,0.0,0.0,6.0
2015,101849101.0,4.0,0.0,114.0,137.0,0.0,0.0,0.0
2015,178801101.0,0.0,0.0,4.0,73.0,0.0,0.0,4.0
2015,43914004.0,7.0,4.0,29.0,43.0,0.0,4.0,58.0
2015,108906011.0,6.0,0.0,4.0,389.0,0.0,4.0,9.0
2015,57914132.0,11.0,4.0,129.0,672.0,4.0,6.0,90.0
2015,111901102.0,4.0,5.0,4.0,115.0,4.0,11.0,586.0
2015,111901042.0,7.0,4.0,11.0,137.0,4.0,14.0,648.0
2015,126903107.0,4.0,4.0,33.0,355.0,14.0,11.0,281.0
2015,246913102.0,11.0,4.0,27.0,124.0,4.0,26.0,343.0
2015,101907107.0,109.0,7.0,87.0,330.0,0.0,21.0,313.0
2015,126903101.0,4.0,4.0,18.0,142.0,4.0,5.0,263.0
2015,220901161.0,124.0,4.0,321.0,316.0,4.0,8.0,66.0
2015,15915123.0,7.0,0.0,41.0,473.0,4.0,6.0,50.0
2015,125901043.0,5.0,4.0,4.0,696.0,0.0,4.0,41.0
2015,36901004.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2015,57905247.0,0.0,0.0,145.0,553.0,0.0,4.0,12.0
2015,57905219.0,0.0,0.0,360.0,46.0,0.0,4.0,8.0
2015,101903199.0,4.0,4.0,23.0,13.0,0.0,0.0,10.0
2015,180903001.0,0.0,4.0,0.0,63.0,0.0,4.0,50.0
2015,227909005.0,4.0,0.0,0.0,5.0,0.0,4.0,31.0
2015,101912462.0,0.0,0.0,85.0,206.0,0.0,0.0,9.0
2015,57806101.0,20.0,4.0,304.0,998.0,4.0,26.0,278.0
2015,15907117.0,0.0,0.0,4.0,260.0,0.0,4.0,11.0
2015,57914041.0,13.0,4.0,194.0,376.0,0.0,13.0,146.0
2015,178901101.0,0.0,0.0,0.0,147.0,0.0,0.0,30.0
2015,178901001.0,0.0,4.0,4.0,174.0,0.0,0.0,43.0
2015,101905043.0,12.0,6.0,141.0,713.0,4.0,4.0,65.0
2015,108909113.0,13.0,4.0,4.0,821.0,0.0,0.0,13.0
2015,31901133.0,0.0,0.0,4.0,802.0,0.0,0.0,5.0
2015,139909109.0,5.0,12.0,247.0,147.0,4.0,69.0,420.0
2015,57916135.0,62.0,8.0,212.0,373.0,4.0,7.0,78.0
2015,59901101.0,4.0,0.0,0.0,399.0,0.0,4.0,22.0
2015,181907002.0,4.0,0.0,4.0,5.0,0.0,0.0,45.0
2015,84902007.0,4.0,0.0,28.0,54.0,0.0,4.0,30.0
2015,108913110.0,0.0,4.0,0.0,676.0,0.0,0.0,4.0
2015,95903102.0,4.0,4.0,5.0,182.0,0.0,6.0,91.0
2015,227901017.0,72.0,4.0,193.0,2069.0,4.0,50.0,277.0
2015,101911101.0,14.0,0.0,195.0,511.0,4.0,15.0,125.0
2015,186902102.0,4.0,0.0,9.0,456.0,0.0,4.0,66.0
2015,15901001.0,41.0,11.0,16.0,624.0,0.0,9.0,848.0
2015,15901041.0,25.0,4.0,10.0,461.0,4.0,23.0,601.0
2015,165901041.0,24.0,0.0,70.0,532.0,0.0,8.0,157.0
2015,15822004.0,0.0,0.0,0.0,105.0,0.0,0.0,4.0
2015,108909042.0,4.0,0.0,4.0,725.0,0.0,0.0,4.0
2015,15908042.0,0.0,4.0,25.0,591.0,4.0,0.0,19.0
2015,250906101.0,4.0,4.0,4.0,46.0,0.0,4.0,391.0
2015,250906001.0,4.0,0.0,4.0,52.0,0.0,6.0,346.0
2015,209901001.0,0.0,4.0,4.0,34.0,4.0,4.0,170.0
2015,43907118.0,12.0,4.0,118.0,298.0,0.0,16.0,93.0
2015,116903104.0,8.0,4.0,71.0,68.0,4.0,14.0,167.0
2015,57905163.0,0.0,4.0,250.0,235.0,0.0,4.0,5.0
2015,101903045.0,196.0,0.0,499.0,522.0,0.0,12.0,38.0
2015,101912102.0,0.0,0.0,261.0,80.0,0.0,0.0,0.0
2015,152901194.0,0.0,4.0,357.0,260.0,0.0,4.0,16.0
2015,101902001.0,27.0,4.0,210.0,2114.0,0.0,7.0,43.0
2015,101902041.0,4.0,4.0,177.0,774.0,0.0,4.0,14.0
2015,101902081.0,6.0,4.0,63.0,710.0,0.0,4.0,9.0
2015,43910106.0,117.0,4.0,35.0,70.0,0.0,14.0,270.0
2015,184907001.0,9.0,11.0,25.0,107.0,0.0,26.0,1015.0
2015,184907041.0,9.0,6.0,17.0,85.0,0.0,16.0,671.0
2015,57905206.0,4.0,0.0,58.0,404.0,4.0,4.0,64.0
2015,57905058.0,26.0,9.0,172.0,664.0,4.0,11.0,31.0
2015,101903114.0,91.0,9.0,310.0,408.0,5.0,5.0,14.0
2015,20908115.0,30.0,4.0,70.0,201.0,0.0,16.0,372.0
2015,71904104.0,0.0,0.0,0.0,552.0,0.0,0.0,4.0
2015,108904129.0,12.0,0.0,4.0,546.0,0.0,0.0,11.0
2015,108909112.0,4.0,0.0,4.0,657.0,0.0,0.0,10.0
2015,220905101.0,10.0,4.0,25.0,112.0,0.0,15.0,230.0
2015,220905220.0,4.0,0.0,11.0,701.0,0.0,4.0,20.0
2015,125901001.0,7.0,4.0,4.0,1325.0,0.0,0.0,70.0
2015,101905041.0,9.0,7.0,118.0,816.0,0.0,7.0,91.0
2015,220908101.0,4.0,4.0,65.0,278.0,0.0,20.0,124.0
2015,71905138.0,4.0,0.0,4.0,765.0,4.0,4.0,11.0
2015,101903012.0,73.0,4.0,100.0,240.0,0.0,4.0,17.0
2015,101903047.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0
2015,101903005.0,4.0,4.0,60.0,98.0,4.0,4.0,4.0
2015,101903205.0,4.0,0.0,25.0,19.0,0.0,4.0,0.0
2015,101903041.0,185.0,4.0,171.0,611.0,4.0,4.0,21.0
2015,101815101.0,131.0,0.0,45.0,115.0,0.0,4.0,4.0
2015,10902101.0,4.0,4.0,4.0,176.0,4.0,8.0,381.0
2015,108909130.0,4.0,0.0,0.0,642.0,0.0,4.0,12.0
2015,178904101.0,0.0,0.0,10.0,348.0,0.0,0.0,27.0
2015,43905129.0,92.0,4.0,70.0,72.0,0.0,27.0,350.0
2015,15915106.0,4.0,0.0,9.0,546.0,0.0,4.0,17.0
2015,43901001.0,568.0,29.0,534.0,649.0,14.0,148.0,2594.0
2015,220902105.0,25.0,4.0,45.0,127.0,4.0,19.0,203.0
2015,227901101.0,0.0,0.0,29.0,454.0,4.0,4.0,4.0
2015,94902002.0,4.0,0.0,7.0,41.0,4.0,4.0,36.0
2015,101912104.0,9.0,4.0,180.0,609.0,0.0,5.0,14.0
2015,235902101.0,4.0,4.0,26.0,247.0,0.0,4.0,203.0
2015,15905106.0,0.0,0.0,8.0,564.0,0.0,4.0,4.0
2015,170906012.0,0.0,4.0,4.0,17.0,0.0,4.0,56.0
2015,15822002.0,4.0,0.0,19.0,180.0,0.0,0.0,22.0
2015,57832001.0,4.0,0.0,49.0,77.0,4.0,4.0,25.0
2015,22901101.0,4.0,0.0,4.0,283.0,0.0,4.0,145.0
2015,22901001.0,4.0,0.0,4.0,175.0,4.0,0.0,91.0
2015,22901041.0,4.0,0.0,4.0,198.0,0.0,8.0,99.0
2015,226903101.0,4.0,4.0,10.0,245.0,0.0,8.0,55.0
2015,161914101.0,4.0,4.0,125.0,330.0,0.0,11.0,51.0
2015,71902102.0,0.0,0.0,4.0,349.0,0.0,0.0,4.0
2015,220918003.0,0.0,0.0,7.0,14.0,0.0,4.0,8.0
2015,220908006.0,4.0,4.0,40.0,28.0,0.0,6.0,27.0
2015,68901004.0,0.0,4.0,5.0,71.0,0.0,0.0,8.0
2015,220916004.0,0.0,0.0,4.0,9.0,0.0,0.0,19.0
2015,15910012.0,0.0,0.0,14.0,35.0,0.0,4.0,12.0
2015,147902002.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0
2015,126906002.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0
2015,15910053.0,0.0,0.0,6.0,18.0,0.0,4.0,4.0
2015,123908002.0,0.0,0.0,4.0,0.0,0.0,4.0,8.0
2015,15916005.0,0.0,0.0,16.0,23.0,0.0,4.0,6.0
2015,86901002.0,0.0,4.0,0.0,10.0,0.0,0.0,6.0
2015,15905042.0,4.0,0.0,0.0,30.0,0.0,0.0,0.0
2015,15910160.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0
2015,15915008.0,0.0,4.0,12.0,59.0,0.0,4.0,15.0
2015,79901004.0,0.0,4.0,15.0,39.0,0.0,0.0,4.0
