County,District,Name,Code,Institution,Students
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,TRINITY VALLEY COMM COLLEGE (003572) ,9
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Other Pub/Ind 4-yr Institution (8) ,12
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Other Pub/Ind 2-yr Institution (6) ,12
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Not found ,23
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Total high school graduates ,56
,,,,,
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,TRINITY VALLEY COMM COLLEGE (003572) ,6
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,TYLER JUNIOR COLLEGE (003648) ,5
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Other Pub/Ind 4-yr Institution (12) ,19
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Other Pub/Ind 2-yr Institution (4) ,5
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Not found ,38
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Total high school graduates ,73
,,,,,
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,TRINITY VALLEY COMM COLLEGE (003572) ,7
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Other Pub/Ind 4-yr Institution (3) ,3
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Other Pub/Ind 2-yr Institution (4) ,6
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Not found ,27
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Total high school graduates ,43
,,,,,
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,TRINITY VALLEY COMM COLLEGE (003572) ,6
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,Other Pub/Ind 4-yr Institution (5) ,6
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,Other Pub/Ind 2-yr Institution (3) ,3
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,Not found ,14
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,Total high school graduates ,29
,,,,,
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,TRINITY VALLEY COMM COLLEGE (003572) ,16
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,TYLER JUNIOR COLLEGE (003648) ,9
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,STEPHEN F. AUSTIN STATE UNIV (003624) ,7
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,SAM HOUSTON STATE UNIVERSITY (003606) ,6
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,Other Pub/Ind 4-yr Institution (16) ,22
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,Other Pub/Ind 2-yr Institution (4) ,7
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,Not trackable ,7
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,Not found ,101
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,Total high school graduates ,175
,,,,,
ANDERSON ,SLOCUM ISD ,SLOCUM H S ,001909001,TRINITY VALLEY COMM COLLEGE (003572) ,6
ANDERSON ,SLOCUM ISD ,SLOCUM H S ,001909001,Other Pub/Ind 4-yr Institution (3) ,4
