YEAR,CAMPUS ID,HIGH SCHOOL STUDENTS,NOT FOUND,NOT TRACKABLE
2015,1902001.0,56,23,0
2015,,0,0,0
2015,1903001.0,73,38,0
2015,,0,0,0
2015,1904001.0,43,27,0
2015,,0,0,0
2015,1906002.0,29,14,0
2015,,0,0,0
2015,1907001.0,175,101,7
2015,,0,0,0
2015,1909001.0,32,21,0
2015,,0,0,0
2015,1908002.0,88,49,0
2015,,0,0,0
2015,2901002.0,39,29,4
2015,,0,0,0
2015,2901001.0,216,106,8
2015,,0,0,0
2015,3907001.0,81,38,0
2015,,0,0,0
2015,3905001.0,107,47,3
2015,,0,0,0
2015,3902001.0,173,67,0
2015,,0,0,0
2015,3904001.0,114,57,1
2015,,0,0,0
2015,3903001.0,479,214,13
2015,,0,0,0
2015,3903004.0,31,26,2
2015,,0,0,0
2015,3801001.0,40,19,0
2015,,0,0,0
2015,3906001.0,40,20,0
2015,,0,0,0
2015,4901001.0,209,107,5
2015,,0,0,0
2015,5901001.0,39,17,0
2015,,0,0,0
2015,5902001.0,53,22,0
2015,,0,0,0
2015,5904001.0,38,15,6
2015,,0,0,0
2015,7901001.0,35,22,0
2015,,0,0,0
2015,7902001.0,114,45,2
2015,,0,0,0
2015,7904001.0,134,77,1
2015,,0,0,0
2015,7905001.0,213,126,6
2015,,0,0,0
2015,7906001.0,118,75,0
2015,,0,0,0
2015,8901001.0,148,46,6
2015,,0,0,0
2015,8903001.0,60,36,1
2015,,0,0,0
2015,8902001.0,180,100,12
2015,,0,0,0
2015,9901001.0,90,42,10
2015,,0,0,0
2015,10902001.0,149,78,2
2015,,0,0,0
2015,11901001.0,246,118,11
2015,,0,0,0
2015,11901002.0,239,133,15
2015,,0,0,0
2015,11901022.0,93,80,10
2015,,0,0,0
2015,11902001.0,292,148,13
2015,,0,0,0
2015,11904002.0,119,69,2
2015,,0,0,0
2015,12901001.0,35,10,1
2015,,0,0,0
2015,13901001.0,189,103,1
2015,,0,0,0
2015,13903001.0,34,20,0
2015,,0,0,0
2015,13905001.0,59,26,0
2015,,0,0,0
2015,14901001.0,98,43,1
2015,,0,0,0
2015,14903001.0,600,269,18
2015,,0,0,0
2015,14903005.0,105,46,2
2015,,0,0,0
2015,14905001.0,71,28,0
2015,,0,0,0
2015,14906002.0,446,232,7
2015,,0,0,0
2015,14906007.0,493,229,11
2015,,0,0,0
2015,14906001.0,445,268,4
2015,,0,0,0
2015,14906006.0,191,156,2
2015,,0,0,0
2015,14906008.0,410,211,5
2015,,0,0,0
2015,14804006.0,40,11,0
2015,,0,0,0
2015,14804005.0,40,24,0
2015,,0,0,0
2015,14801008.0,61,54,0
2015,,0,0,0
2015,14801007.0,90,68,0
2015,,0,0,0
2015,14801006.0,36,28,3
2015,,0,0,0
2015,14801005.0,28,21,3
2015,,0,0,0
2015,14801004.0,72,67,0
2015,,0,0,0
2015,14801003.0,42,30,0
2015,,0,0,0
2015,14801002.0,98,86,1
2015,,0,0,0
2015,14801001.0,51,49,2
2015,,0,0,0
2015,14907001.0,69,34,1
2015,,0,0,0
2015,14908001.0,97,33,3
2015,,0,0,0
2015,14909008.0,90,75,4
2015,,0,0,0
2015,14909002.0,374,175,8
2015,,0,0,0
2015,14910001.0,94,36,0
2015,,0,0,0
2015,15901001.0,369,184,2
2015,,0,0,0
2015,15830001.0,80,31,2
2015,,0,0,0
2015,15911001.0,686,395,7
2015,,0,0,0
2015,15905002.0,297,181,13
2015,,0,0,0
2015,15905003.0,265,155,11
2015,,0,0,0
2015,15914001.0,89,39,1
2015,,0,0,0
2015,15904004.0,151,131,4
2015,,0,0,0
2015,15904001.0,389,173,18
2015,,0,0,0
2015,15904002.0,374,169,7
2015,,0,0,0
2015,15828003.0,37,8,0
2015,,0,0,0
2015,15833001.0,38,26,0
2015,,0,0,0
2015,15822001.0,46,33,1
2015,,0,0,0
2015,15916009.0,102,21,2
2015,,0,0,0
2015,15916001.0,678,361,6
2015,,0,0,0
2015,15916003.0,131,112,1
2015,,0,0,0
2015,15916008.0,467,335,11
2015,,0,0,0
2015,15826001.0,97,28,6
2015,,0,0,0
2015,15913001.0,38,20,0
2015,,0,0,0
2015,15910008.0,214,175,11
2015,,0,0,0
2015,15910003.0,678,264,17
2015,,0,0,0
2015,15910009.0,120,50,0
2015,,0,0,0
2015,15910014.0,716,253,13
2015,,0,0,0
2015,15910001.0,505,260,31
2015,,0,0,0
2015,15910002.0,580,293,19
2015,,0,0,0
2015,15910005.0,691,335,13
2015,,0,0,0
2015,15910007.0,677,210,30
2015,,0,0,0
2015,15910004.0,542,314,18
2015,,0,0,0
2015,15915023.0,540,179,8
2015,,0,0,0
2015,15915024.0,521,263,4
2015,,0,0,0
2015,15915011.0,290,243,6
2015,,0,0,0
2015,15915005.0,605,232,14
2015,,0,0,0
2015,15915006.0,211,37,1
2015,,0,0,0
2015,15915001.0,540,306,18
2015,,0,0,0
2015,15915002.0,632,341,13
2015,,0,0,0
2015,15915003.0,601,280,14
2015,,0,0,0
2015,15915016.0,702,273,8
2015,,0,0,0
2015,15915013.0,65,62,2
2015,,0,0,0
2015,15915022.0,573,288,9
2015,,0,0,0
2015,15915007.0,635,325,8
2015,,0,0,0
2015,15915019.0,618,275,9
2015,,0,0,0
2015,15801003.0,48,42,1
2015,,0,0,0
2015,15801001.0,44,42,0
2015,,0,0,0
2015,15906001.0,73,35,0
2015,,0,0,0
2015,15907001.0,437,231,23
2015,,0,0,0
2015,15907002.0,280,134,12
2015,,0,0,0
2015,15907024.0,131,115,6
2015,,0,0,0
2015,15907003.0,323,162,22
2015,,0,0,0
2015,15907004.0,82,20,1
2015,,0,0,0
2015,15907005.0,302,171,10
2015,,0,0,0
2015,15907006.0,182,108,7
2015,,0,0,0
2015,15907007.0,348,180,14
2015,,0,0,0
2015,15907008.0,338,203,15
2015,,0,0,0
2015,15907014.0,56,47,3
2015,,0,0,0
2015,15907022.0,76,19,0
2015,,0,0,0
2015,15907023.0,28,8,0
2015,,0,0,0
2015,15827001.0,35,15,0
2015,,0,0,0
2015,15909001.0,224,136,5
2015,,0,0,0
2015,15908001.0,514,279,14
2015,,0,0,0
2015,15917001.0,274,151,4
2015,,0,0,0
2015,15912011.0,68,60,1
2015,,0,0,0
2015,15912001.0,744,411,19
2015,,0,0,0
2015,15807005.0,33,22,1
2015,,0,0,0
2015,15807004.0,41,34,1
2015,,0,0,0
2015,16902001.0,69,30,1
2015,,0,0,0
2015,16901001.0,49,19,2
2015,,0,0,0
2015,18901001.0,78,28,0
2015,,0,0,0
2015,18902001.0,31,13,2
2015,,0,0,0
2015,18904001.0,40,13,3
2015,,0,0,0
2015,19901001.0,62,37,1
2015,,0,0,0
2015,19902002.0,66,41,0
2015,,0,0,0
2015,19908001.0,140,96,1
2015,,0,0,0
2015,19905001.0,100,57,0
2015,,0,0,0
2015,19912001.0,152,97,2
2015,,0,0,0
2015,19906001.0,71,42,0
2015,,0,0,0
2015,19909001.0,41,24,0
2015,,0,0,0
2015,19907003.0,66,55,0
2015,,0,0,0
2015,19907002.0,370,217,7
2015,,0,0,0
2015,20901001.0,499,228,18
2015,,0,0,0
2015,20901005.0,112,89,9
2015,,0,0,0
2015,20901002.0,583,242,20
2015,,0,0,0
2015,20902001.0,412,204,15
2015,,0,0,0
2015,20905001.0,219,122,17
2015,,0,0,0
2015,20905002.0,554,206,8
2015,,0,0,0
2015,20907001.0,175,81,5
2015,,0,0,0
2015,20904001.0,55,21,0
2015,,0,0,0
2015,20908007.0,466,165,17
2015,,0,0,0
2015,20908004.0,120,103,7
2015,,0,0,0
2015,20908001.0,645,231,18
2015,,0,0,0
2015,20908009.0,157,52,14
2015,,0,0,0
2015,20906002.0,118,55,3
2015,,0,0,0
2015,21902003.0,67,17,3
2015,,0,0,0
2015,21902002.0,269,132,16
2015,,0,0,0
2015,21902017.0,172,135,26
2015,,0,0,0
2015,21902001.0,359,175,31
2015,,0,0,0
2015,21901001.0,407,146,16
2015,,0,0,0
2015,21901002.0,36,31,0
2015,,0,0,0
2015,21901003.0,348,110,18
2015,,0,0,0
2015,22901001.0,59,19,1
2015,,0,0,0
2015,24901001.0,88,41,1
2015,,0,0,0
2015,25901001.0,75,42,2
