YEAR,CAMPUS ID,CAMPUS NAME,DISTRICT ID,SAT PARTICIPATION RATE,SAT MATH,SAT ERW
2015,1902001,Cayuga H S,1902,60.7,475.0,471.0
2015,1903001,Elkhart H S,1903,63.0,487.0,456.0
2015,1904001,Frankston H S,1904,30.2,427.0,418.0
2015,1906002,Neches H S,1906,10.3,540.0,567.0
2015,1907001,Palestine H S,1907,37.7,455.0,440.0
2015,1908002,Westwood H S,1908,55.7,465.0,442.0
2015,1909001,Slocum H S,1909,18.8,503.0,545.0
2015,2901001,Andrews H S,2901,18.1,491.0,486.0
2015,3801001,Pineywoods Community Academy H S,3801,55.0,493.0,491.0
2015,3902001,Hudson H S,3902,57.2,514.0,479.0
2015,3903001,Lufkin H S,3903,46.6,490.0,462.0
2015,3904001,Huntington H S,3904,40.4,483.0,470.0
2015,3905001,Diboll H S,3905,24.3,447.0,433.0
2015,3906001,Zavalla H S,3906,27.5,473.0,472.0
2015,3907001,Central H S,3907,19.8,499.0,486.0
2015,4901001,Rockport-Fulton H S,4901,57.9,483.0,463.0
2015,5901001,Archer City H S,5901,30.8,504.0,508.0
2015,5902001,Holliday H S,5902,50.9,534.0,506.0
2015,5904001,Windthorst H S,5904,26.3,511.0,489.0
2015,6902001,Claude H S,6902,8.3,475.0,470.0
2015,7901001,Charlotte H S,7901,40.0,411.0,412.0
2015,7902001,Jourdanton H S,7902,33.3,473.0,478.0
2015,7904001,Lytle H S,7904,47.4,446.0,448.0
2015,7905001,Pleasanton H S,7905,40.4,463.0,451.0
2015,7906001,Poteet H S,7906,11.9,456.0,441.0
2015,8901001,Bellville H S,8901,56.1,525.0,497.0
2015,8902001,Sealy H S,8902,27.8,499.0,484.0
2015,8903001,Brazos H S,8903,43.3,462.0,430.0
2015,9901001,Muleshoe H S,9901,8.8,491.0,489.0
2015,10901001,Medina School,10901,47.1,509.0,535.0
2015,10902001,Bandera H S,10902,57.0,527.0,499.0
2015,11901001,Bastrop H S,11901,54.5,461.0,454.0
2015,11901002,Cedar Creek H S,11901,56.1,476.0,464.0
2015,11902001,Elgin H S,11902,53.4,448.0,451.0
2015,11904002,Smithville H S,11904,47.9,496.0,464.0
2015,12901001,Seymour H S,12901,2.9,,
2015,13901001,A C Jones H S,13901,6.9,458.0,465.0
2015,13903001,Pettus Secondary,13903,20.6,474.0,429.0
2015,13905001,Skidmore-Tynan H S,13905,10.2,478.0,505.0
2015,14801002,Richard Milburn Academy Odessa,14801,3.1,460.0,497.0
2015,14801004,Richard Milburn Academy Lubbock,14801,4.2,457.0,493.0
2015,14801005,Richard Milburn Academy Houston (S,14801,25.0,411.0,430.0
2015,14801006,Richard Milburn Academy Fort Worth,14801,2.9,,
2015,14801007,Richard Milburn Academy Corpus Chr,14801,24.2,396.0,413.0
2015,14801008,Richard Milburn Academy Amarillo,14801,1.6,,
2015,14803101,Priority Charter Schools-Temple Ch,14803,33.3,495.0,485.0
2015,14804005,Gateway H S,14804,45.0,503.0,526.0
2015,14804006,Gateway College Preparatory School,14804,90.0,491.0,492.0
2015,14901001,Academy H S,14901,49.0,538.0,512.0
2015,14902001,Bartlett Schools,14902,4.2,,
2015,14903001,Belton H S,14903,54.5,496.0,495.0
2015,14903005,Belton New Tech H S At Waskow,14903,59.0,479.0,491.0
2015,14905001,Holland H S,14905,23.9,506.0,462.0
2015,14906001,Killeen H S,14906,58.0,466.0,467.0
2015,14906002,C E Ellison H S,14906,51.0,471.0,473.0
2015,14906003,Killeen Isd Career Center,14906,,,
2015,14906006,Pathways Academic Campus,14906,2.6,454.0,498.0
2015,14906007,Harker Heights H S,14906,64.2,488.0,492.0
2015,14906008,Robert M Shoemaker H S,14906,56.0,443.0,441.0
2015,14907001,Rogers H S,14907,33.3,494.0,498.0
2015,14908001,Salado H S,14908,63.9,507.0,512.0
2015,14909002,Temple H S,14909,46.8,490.0,480.0
2015,14909008,Fred W Edwards Academy Aec,14909,1.1,,
2015,14910001,Troy H S,14910,39.4,473.0,463.0
2015,15801001,Por Vida Academy Charter H S,15801,2.3,,
2015,15801002,Corpus Christi College Prep H S,15801,38.9,497.0,443.0
2015,15802001,George Gervin Academy,15802,4.3,,
2015,15803101,Higgs Carter King Gifted & Talente,15803,,295.0,360.0
2015,15806001,Rick Hawkins H S,15806,70.0,384.0,350.0
2015,15806003,Milton B Lee Academy Of Science &,15806,88.9,443.0,393.0
2015,15807001,Southwest Preparatory School,15807,,467.0,477.0
2015,15807002,Southwest Preparatory Southeast Ca,15807,12.5,455.0,440.0
2015,15807004,Southwest Preparatory School-North,15807,9.8,443.0,455.0
2015,15807005,New Directions,15807,3.0,,
2015,15815041,Radiance Academy Of Learning (Del,15815,20.8,444.0,486.0
2015,15816001,Academy Of Careers And Technologie,15816,25.0,428.0,445.0
2015,15819105,West Columbia Charter Sch,15819,6.7,,
2015,15820001,San Antonio School For Inquiry & C,15820,8.0,485.0,445.0
2015,15822001,Athlos Leadership Academy,15822,58.7,385.0,393.0
2015,15822002,Alpha Academy,15822,,445.0,410.0
2015,15826001,Kipp University Prep H S,15826,62.9,441.0,430.0
2015,15827001,School Of Science And Technology,15827,100.0,521.0,519.0
2015,15828001,Harmony Science Acad (San Antonio),15828,100.0,509.0,492.0
2015,15828003,Harmony Science Academy - Laredo,15828,100.0,510.0,488.0
2015,15828005,Harmony Science Academy - Brownsvi,15828,95.0,453.0,441.0
2015,15830001,Brooks Academy Of Science And Engi,15830,76.3,469.0,461.0
