YEAR,DISTRICT ID,DESCRIPTION
2015,57816,CHARTER SCHOOL DISTRICTS
2015,57829,CHARTER SCHOOL DISTRICTS
2015,109901,RURAL
2015,95901,RURAL
2015,221901,OTHER CENTRAL CITY
2015,57814,CHARTER SCHOOL DISTRICTS
2015,14901,NON-METROPOLITAN FAST GROWING
2015,101810,CHARTER SCHOOL DISTRICTS
2015,15816,CHARTER SCHOOL DISTRICTS
2015,57810,CHARTER SCHOOL DISTRICTS
2015,101849,CHARTER SCHOOL DISTRICTS
2015,180903,RURAL
2015,57806,CHARTER SCHOOL DISTRICTS
2015,178901,RURAL
2015,15901,MAJOR SUBURBAN
2015,250906,RURAL
2015,209901,RURAL
2015,101902,MAJOR SUBURBAN
2015,184907,MAJOR SUBURBAN
2015,125901,INDEPENDENT TOWN
2015,101903,MAJOR SUBURBAN
2015,101815,CHARTER SCHOOL DISTRICTS
2015,43901,OTHER CENTRAL CITY SUBURBAN
2015,57832,CHARTER SCHOOL DISTRICTS
2015,22901,NON-METROPOLITAN STABLE
2015,37901,RURAL
2015,126901,OTHER CENTRAL CITY SUBURBAN
2015,20901,MAJOR SUBURBAN
2015,249901,RURAL
2015,188901,OTHER CENTRAL CITY
2015,84804,CHARTER SCHOOL DISTRICTS
2015,140901,RURAL
2015,101819,CHARTER SCHOOL DISTRICTS
2015,36901,OTHER CENTRAL CITY SUBURBAN
2015,93901,INDEPENDENT TOWN
2015,2901,OTHER CENTRAL CITY SUBURBAN
2015,20902,OTHER CENTRAL CITY SUBURBAN
2015,43902,NON-METROPOLITAN FAST GROWING
2015,127901,RURAL
2015,71906,NON-METROPOLITAN STABLE
2015,110901,RURAL
2015,228905,RURAL
2015,109912,RURAL
2015,4901,INDEPENDENT TOWN
2015,205901,OTHER CENTRAL CITY SUBURBAN
2015,5901,RURAL
2015,61910,OTHER CENTRAL CITY SUBURBAN
2015,101803,CHARTER SCHOOL DISTRICTS
2015,220802,CHARTER SCHOOL DISTRICTS
2015,220901,MAJOR URBAN
2015,212901,NON-METROPOLITAN STABLE
2015,21805,CHARTER SCHOOL DISTRICTS
2015,217901,RURAL
2015,107901,INDEPENDENT TOWN
2015,34901,INDEPENDENT TOWN
2015,61907,OTHER CENTRAL CITY SUBURBAN
2015,227825,CHARTER SCHOOL DISTRICTS
2015,227821,CHARTER SCHOOL DISTRICTS
2015,227901,MAJOR URBAN
2015,196901,RURAL
2015,70901,RURAL
2015,194902,RURAL
2015,34902,RURAL
2015,161918,RURAL
2015,220915,MAJOR SUBURBAN
2015,30903,RURAL
2015,200901,NON-METROPOLITAN STABLE
2015,195902,RURAL
2015,10902,MAJOR SUBURBAN
2015,25901,NON-METROPOLITAN STABLE
2015,178913,NON-METROPOLITAN STABLE
2015,36902,OTHER CENTRAL CITY SUBURBAN
2015,14902,RURAL
2015,15834,CHARTER SCHOOL DISTRICTS
2015,11901,INDEPENDENT TOWN
2015,101809,CHARTER SCHOOL DISTRICTS
2015,158901,INDEPENDENT TOWN
2015,101847,CHARTER SCHOOL DISTRICTS
2015,123910,OTHER CENTRAL CITY
2015,183901,RURAL
2015,13901,INDEPENDENT TOWN
2015,39904,RURAL
2015,91901,RURAL
2015,8901,INDEPENDENT TOWN
2015,14903,OTHER CENTRAL CITY SUBURBAN
2015,125902,RURAL
2015,66901,RURAL
2015,138904,RURAL
2015,15809,CHARTER SCHOOL DISTRICTS
2015,187901,RURAL
2015,230901,RURAL
2015,114901,INDEPENDENT TOWN
2015,193801,CHARTER SCHOOL DISTRICTS
2015,220902,MAJOR SUBURBAN
2015,178902,NON-METROPOLITAN STABLE
2015,177903,RURAL
2015,16902,NON-METROPOLITAN STABLE
2015,116915,RURAL
2015,25904,RURAL
2015,34909,RURAL
2015,175902,OTHER CENTRAL CITY SUBURBAN
2015,235901,NON-METROPOLITAN STABLE
2015,43917,RURAL
2015,72904,RURAL
2015,109913,RURAL
2015,123807,CHARTER SCHOOL DISTRICTS
2015,130901,MAJOR SUBURBAN
2015,116916,RURAL
2015,241901,OTHER CENTRAL CITY SUBURBAN
2015,74903,INDEPENDENT TOWN
2015,148901,RURAL
2015,17901,RURAL
2015,117901,NON-METROPOLITAN STABLE
2015,161923,RURAL
2015,185901,RURAL
2015,169901,NON-METROPOLITAN STABLE
2015,249902,NON-METROPOLITAN STABLE
2015,180901,RURAL
2015,136901,RURAL
2015,160901,NON-METROPOLITAN STABLE
2015,8903,RURAL
2015,213801,CHARTER SCHOOL DISTRICTS
2015,21803,CHARTER SCHOOL DISTRICTS
2015,20905,OTHER CENTRAL CITY
2015,215901,NON-METROPOLITAN STABLE
2015,198901,RURAL
2015,239901,INDEPENDENT TOWN
2015,181901,NON-METROPOLITAN STABLE
2015,249903,INDEPENDENT TOWN
2015,243801,CHARTER SCHOOL DISTRICTS
2015,203902,RURAL
2015,184909,OTHER CENTRAL CITY SUBURBAN
2015,41901,RURAL
2015,121902,RURAL
2015,25908,RURAL
2015,15830,CHARTER SCHOOL DISTRICTS
2015,24901,OTHER CENTRAL CITY SUBURBAN
2015,223901,NON-METROPOLITAN STABLE
2015,107902,OTHER CENTRAL CITY SUBURBAN
2015,31901,OTHER CENTRAL CITY
