YEAR,DISTRICT ID,CAMPUS ID,ENROLLMENT,GT,CTE,LEP,BIL,ESL,DISADV,SPED
2015,108902.0,108902006.0,87.0,4.0,21.0,6.0,4.0,6.0,74.0,5.0
2015,116905.0,116905108.0,318.0,33.0,4.0,93.0,4.0,92.0,229.0,40.0
2015,21901.0,21901001.0,1747.0,230.0,1053.0,57.0,4.0,48.0,581.0,139.0
2015,21901.0,21901042.0,903.0,144.0,294.0,46.0,4.0,46.0,378.0,89.0
2015,77901.0,77901101.0,468.0,9.0,4.0,40.0,4.0,37.0,381.0,27.0
2015,147903.0,147903103.0,675.0,10.0,4.0,181.0,142.0,39.0,548.0,54.0
2015,205901.0,205901041.0,423.0,20.0,4.0,24.0,4.0,24.0,310.0,48.0
2015,13901.0,13901001.0,970.0,82.0,816.0,12.0,4.0,9.0,581.0,74.0
2015,116908.0,116908101.0,509.0,30.0,4.0,57.0,4.0,56.0,370.0,74.0
2015,126905.0,126905103.0,546.0,14.0,4.0,100.0,60.0,37.0,298.0,51.0
2015,15904.0,15904042.0,804.0,55.0,348.0,179.0,31.0,136.0,762.0,77.0
2015,170908.0,170908104.0,593.0,30.0,4.0,396.0,382.0,32.0,487.0,40.0
2015,108902.0,108902104.0,429.0,43.0,4.0,191.0,185.0,4.0,392.0,33.0
2015,220905.0,220905153.0,496.0,15.0,4.0,132.0,4.0,130.0,464.0,34.0
2015,57905.0,57905003.0,435.0,98.0,434.0,59.0,4.0,52.0,354.0,13.0
2015,108913.0,108913113.0,861.0,39.0,4.0,376.0,369.0,4.0,758.0,52.0
2015,20905.0,20905102.0,539.0,51.0,4.0,34.0,4.0,32.0,182.0,50.0
2015,108902.0,108902045.0,735.0,67.0,112.0,319.0,4.0,316.0,660.0,65.0
2015,220917.0,220917101.0,805.0,35.0,4.0,321.0,220.0,101.0,674.0,48.0
2015,57816.0,57816102.0,1280.0,4.0,4.0,10.0,4.0,10.0,1133.0,23.0
2015,57829.0,57829001.0,975.0,39.0,312.0,367.0,301.0,62.0,914.0,110.0
2015,146902.0,146902007.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2015,139911.0,139911102.0,244.0,15.0,4.0,4.0,4.0,4.0,166.0,30.0
2015,43914.0,43914042.0,658.0,76.0,4.0,37.0,4.0,37.0,196.0,92.0
2015,57909.0,57909143.0,682.0,28.0,4.0,132.0,107.0,22.0,249.0,39.0
2015,109901.0,109901001.0,264.0,7.0,96.0,4.0,4.0,4.0,59.0,22.0
2015,165901.0,165901047.0,1012.0,91.0,391.0,104.0,4.0,98.0,405.0,62.0
2015,95901.0,95901003.0,-9999999.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2015,95901.0,95901101.0,369.0,43.0,4.0,14.0,4.0,14.0,225.0,29.0
2015,95901.0,95901001.0,210.0,19.0,208.0,4.0,4.0,4.0,91.0,24.0
2015,95901.0,95901041.0,199.0,17.0,4.0,4.0,4.0,4.0,102.0,16.0
2015,221901.0,221901142.0,35.0,4.0,4.0,4.0,4.0,4.0,6.0,13.0
2015,221901.0,221901001.0,1925.0,127.0,1453.0,49.0,4.0,49.0,1023.0,246.0
2015,71902.0,71902171.0,12.0,4.0,4.0,4.0,4.0,4.0,9.0,4.0
2015,15908.0,15908043.0,481.0,27.0,67.0,63.0,4.0,56.0,459.0,46.0
2015,220902.0,220902116.0,692.0,28.0,4.0,291.0,258.0,101.0,508.0,52.0
2015,220902.0,220902111.0,700.0,20.0,4.0,446.0,389.0,56.0,622.0,42.0
2015,14901.0,14901101.0,545.0,16.0,4.0,47.0,4.0,47.0,285.0,30.0
2015,221901.0,221901010.0,393.0,37.0,389.0,4.0,4.0,4.0,175.0,14.0
2015,14901.0,14901001.0,413.0,35.0,341.0,4.0,4.0,4.0,96.0,34.0
2015,14901.0,14901041.0,406.0,40.0,4.0,9.0,4.0,9.0,157.0,34.0
2015,101810.0,101810002.0,747.0,4.0,4.0,419.0,314.0,104.0,737.0,12.0
2015,15816.0,15816001.0,222.0,4.0,222.0,4.0,4.0,7.0,81.0,11.0
2015,101920.0,101920016.0,144.0,6.0,44.0,22.0,4.0,22.0,90.0,11.0
2015,15910.0,15910008.0,158.0,4.0,5.0,4.0,4.0,4.0,54.0,8.0
2015,57810.0,57810101.0,644.0,4.0,4.0,68.0,4.0,64.0,565.0,15.0
2015,101849.0,101849101.0,254.0,4.0,4.0,98.0,4.0,97.0,243.0,19.0
2015,178801.0,178801101.0,76.0,4.0,4.0,37.0,37.0,4.0,61.0,4.0
2015,43914.0,43914004.0,140.0,4.0,7.0,12.0,4.0,11.0,53.0,19.0
2015,108906.0,108906011.0,408.0,78.0,290.0,19.0,4.0,19.0,308.0,4.0
2015,57914.0,57914132.0,914.0,23.0,4.0,538.0,510.0,22.0,686.0,92.0
2015,111901.0,111901102.0,727.0,71.0,4.0,34.0,4.0,33.0,279.0,65.0
2015,111901.0,111901042.0,821.0,84.0,138.0,24.0,4.0,24.0,305.0,86.0
2015,126903.0,126903107.0,701.0,86.0,105.0,146.0,4.0,145.0,550.0,67.0
2015,246913.0,246913102.0,534.0,78.0,4.0,23.0,4.0,23.0,182.0,62.0
