SCOPE,AGG_LEVEL,YEAR,CAMPUS NUMBER,CAMPUS NAME,DISTRICT NUMBER,DISTRICT NAME,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,TOTAL DYSLEXIC STUDENTS
STATE,CAMPUS,2015-2016,108913118,21ST CENTURY EARLY LEARNING FOUNDA,108913,WESLACO ISD,1,108,HIDALGO COUNTY,260,0,0,0,0,0,253,260,-9999999,0,-9999999,26,0
STATE,CAMPUS,2015-2016,108902006,3D ACADEMY,108902,DONNA ISD,1,108,HIDALGO COUNTY,179,0,26,66,0,65,153,179,178,0,0,8,-9999999
STATE,CAMPUS,2015-2016,116905108,6TH GRADE CENTER,116905,GREENVILLE ISD,8,116,HUNT COUNTY,370,57,0,114,0,108,242,370,248,0,0,42,33
STATE,CAMPUS,2015-2016,21901001,A & M CONS H S,21901,COLLEGE STATION ISD,6,21,BRAZOS COUNTY,1786,258,1181,59,-9999999,55,664,0,568,-9999999,0,141,82
STATE,CAMPUS,2015-2016,21901042,A & M CONSOLIDATED MIDDLE,21901,COLLEGE STATION ISD,6,21,BRAZOS COUNTY,882,146,253,51,37,46,399,0,248,-9999999,0,80,40
STATE,CAMPUS,2015-2016,77901101,A B DUNCAN EL,77901,FLOYDADA ISD,17,77,FLOYD COUNTY,472,7,0,46,0,42,343,472,314,-9999999,0,30,21
STATE,CAMPUS,2015-2016,147903103,A B MCBAY EL,147903,MEXIA ISD,12,147,LIMESTONE COUNTY,502,5,0,133,100,30,423,0,307,0,0,34,5
STATE,CAMPUS,2015-2016,205901041,A C BLUNT MIDDLE,205901,ARANSAS PASS ISD,2,205,SAN PATRICIO COUNTY,419,20,0,32,0,29,292,419,276,5,-9999999,39,17
STATE,CAMPUS,2015-2016,13901001,A C JONES H S,13901,BEEVILLE ISD,2,13,BEE COUNTY,1010,71,936,14,0,11,571,1010,605,0,5,90,13
STATE,CAMPUS,2015-2016,116908101,A E BUTLER INT,116908,QUINLAN ISD,10,116,HUNT COUNTY,531,31,0,54,0,53,391,0,264,-9999999,-9999999,87,22
STATE,CAMPUS,2015-2016,126905103,A G ELDER EL,126905,JOSHUA ISD,11,126,JOHNSON COUNTY,582,15,0,105,79,26,336,579,261,8,-9999999,49,35
STATE,CAMPUS,2015-2016,15904042,A LEAL JR MIDDLE,15904,HARLANDALE ISD,20,15,BEXAR COUNTY,805,57,317,146,22,130,644,805,554,-9999999,0,83,61
STATE,CAMPUS,2015-2016,108902104,A M OCHOA EL,108902,DONNA ISD,1,108,HIDALGO COUNTY,449,34,0,194,192,0,411,449,289,-9999999,0,35,0
STATE,CAMPUS,2015-2016,220905153,A M PATE EL,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,507,12,0,110,7,102,456,507,339,0,0,39,10
STATE,CAMPUS,2015-2016,57905003,A MACEO SMITH NEW TECH H S,57905,DALLAS ISD,10,57,DALLAS COUNTY,433,108,432,76,0,68,394,433,215,0,0,13,5
STATE,CAMPUS,2015-2016,108913113,A N RICO ELEMENTARY,108913,WESLACO ISD,1,108,HIDALGO COUNTY,869,31,0,397,390,0,759,869,629,-9999999,0,54,19
STATE,CAMPUS,2015-2016,20905102,A P BEUTEL EL,20905,BRAZOSPORT ISD,4,20,BRAZORIA COUNTY,524,46,0,36,0,34,181,524,201,10,-9999999,48,8
STATE,CAMPUS,2015-2016,108902045,A P SOLIS MIDDLE,108902,DONNA ISD,1,108,HIDALGO COUNTY,710,95,106,322,0,319,582,710,541,-9999999,0,84,-9999999
STATE,CAMPUS,2015-2016,220917101,A V CATO EL,220917,CASTLEBERRY ISD,11,220,TARRANT COUNTY,797,39,0,345,272,73,688,797,672,-9999999,-9999999,53,5
STATE,CAMPUS,2015-2016,57816102,A W BROWN - F L A EARLY CHILDHOOD,57816,A W BROWN-FELLOWSHIP LEADERSHIP AC,10,57,DALLAS COUNTY,1264,0,0,11,0,11,1122,1264,234,0,0,25,0
STATE,CAMPUS,2015-2016,57829001,A+ ACADEMY,57829,A+ ACADEMY,10,57,DALLAS COUNTY,940,30,296,371,315,53,854,940,603,-9999999,0,106,22
STATE,CAMPUS,2015-2016,146902007,AAEP (ACADEMIC ALTERNATIVE EDUCATI,146902,DAYTON ISD,4,146,LIBERTY COUNTY,16,0,10,-9999999,0,0,6,0,16,0,0,0,0
STATE,CAMPUS,2015-2016,139911102,AARON PARKER EL,139911,NORTH LAMAR ISD,8,139,LAMAR COUNTY,231,14,0,-9999999,0,-9999999,158,231,78,-9999999,0,31,11
STATE,CAMPUS,2015-2016,43914042,AB HARRISON INT,43914,WYLIE ISD,10,43,COLLIN COUNTY,718,106,0,47,-9999999,45,178,0,212,10,-9999999,91,53
STATE,CAMPUS,2015-2016,57909143,ABBETT EL,57909,GARLAND ISD,10,57,DALLAS COUNTY,716,19,0,163,123,35,295,716,258,5,0,36,11
STATE,CAMPUS,2015-2016,109901001,ABBOTT SCHOOL,109901,ABBOTT ISD,12,109,HILL COUNTY,270,-9999999,104,-9999999,0,-9999999,76,270,76,0,0,30,-9999999
STATE,CAMPUS,2015-2016,165901047,ABELL J H,165901,MIDLAND ISD,18,165,MIDLAND COUNTY,984,104,401,103,0,98,404,984,553,9,-9999999,57,48
STATE,CAMPUS,2015-2016,95901003,ABERNATHY DAEP,95901,ABERNATHY ISD,17,95,HALE COUNTY,-9999999,0,-9999999,0,0,0,-9999999,0,-9999999,0,0,0,0
STATE,CAMPUS,2015-2016,95901101,ABERNATHY EL,95901,ABERNATHY ISD,17,95,HALE COUNTY,370,40,0,11,0,11,229,370,190,-9999999,-9999999,35,6
STATE,CAMPUS,2015-2016,95901001,ABERNATHY H S,95901,ABERNATHY ISD,17,95,HALE COUNTY,216,17,215,5,0,5,87,216,91,-9999999,0,21,6
STATE,CAMPUS,2015-2016,95901041,ABERNATHY J H,95901,ABERNATHY ISD,17,95,HALE COUNTY,192,23,0,5,0,5,110,192,84,-9999999,-9999999,16,8
STATE,CAMPUS,2015-2016,221901142,ABILENE BEHAVIORAL HEALTH,221901,ABILENE ISD,14,221,TAYLOR COUNTY,22,0,-9999999,0,0,0,5,-9999999,6,0,-9999999,10,0
STATE,CAMPUS,2015-2016,221901001,ABILENE H S,221901,ABILENE ISD,14,221,TAYLOR COUNTY,2015,122,1556,70,0,70,1162,57,1009,31,-9999999,263,27
STATE,CAMPUS,2015-2016,71902171,ABOUT FACE PROGRAM EL,71902,EL PASO ISD,19,71,EL PASO COUNTY,5,-9999999,0,-9999999,-9999999,0,5,5,5,0,0,-9999999,0
STATE,CAMPUS,2015-2016,15908043,ABRAHAM KAZEN MIDDLE,15908,SOUTH SAN ANTONIO ISD,20,15,BEXAR COUNTY,475,12,159,70,0,63,423,475,327,-9999999,-9999999,35,12
STATE,CAMPUS,2015-2016,220902116,ACADEMY AT CARRIE F THOMAS,220902,BIRDVILLE ISD,11,220,TARRANT COUNTY,730,25,0,296,261,105,544,730,495,6,0,64,36
STATE,CAMPUS,2015-2016,14901102,ACADEMY EL,14901,ACADEMY ISD,12,14,BELL COUNTY,381,12,0,33,0,32,195,381,187,8,9,17,-9999999
STATE,CAMPUS,2015-2016,221901010,ACADEMY FOR TECHNOLOGY ENGINEERING,221901,ABILENE ISD,14,221,TAYLOR COUNTY,369,39,366,-9999999,0,-9999999,164,-9999999,122,15,0,13,-9999999
STATE,CAMPUS,2015-2016,14901001,ACADEMY H S,14901,ACADEMY ISD,12,14,BELL COUNTY,406,36,312,6,0,6,110,406,107,10,0,32,8
STATE,CAMPUS,2015-2016,14901101,ACADEMY INT,14901,ACADEMY ISD,12,14,BELL COUNTY,297,23,0,21,0,21,119,297,79,-9999999,-9999999,15,11
STATE,CAMPUS,2015-2016,14901041,ACADEMY J H,14901,ACADEMY ISD,12,14,BELL COUNTY,327,29,0,7,0,7,142,16,111,8,-9999999,26,11
STATE,CAMPUS,2015-2016,101810002,ACADEMY OF ACCELERATED LEARNING,101810,ACADEMY OF ACCELERATED LEARNING IN,4,101,HARRIS COUNTY,773,0,0,412,238,172,659,773,419,0,0,13,0
STATE,CAMPUS,2015-2016,15816001,ACADEMY OF CAREERS AND TECHNOLOGIE,15816,ACADEMY OF CAREERS AND TECHNOLOGIE,20,15,BEXAR COUNTY,193,-9999999,191,5,0,5,128,177,188,0,0,11,0
