SCOPE,AGG_LEVEL,YEAR,CAMPUS NUMBER,CAMPUS NAME,GRADE GROUP,DISTRICT NUMBER,DISTRICT NAME,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,SUM_HOMELESS,TOTAL DYSLEXIC STUDENTS
STATE,CAMPUS,2017-2018,108913118,21ST CENTURY EARLY LEARNING FOUNDA,ELEMENTARY,108913,WESLACO ISD,1,108,HIDALGO COUNTY,331,0,0,57,19,0,322,331,140,-9999999,-9999999,21,0,0
STATE,CAMPUS,2017-2018,108902006,3D ACADEMY,HIGH SCHOOL,108902,DONNA ISD,1,108,HIDALGO COUNTY,142,0,0,69,0,67,138,142,142,0,0,10,7,-9999999
STATE,CAMPUS,2017-2018,116905108,6TH GRADE CENTER,MIDDLE SCHOOL,116905,GREENVILLE ISD,10,116,HUNT COUNTY,370,45,0,95,0,90,252,370,223,0,0,34,-9999999,29
STATE,CAMPUS,2017-2018,21901001,A & M CONS H S,HIGH SCHOOL,21901,COLLEGE STATION ISD,6,21,BRAZOS COUNTY,1713,272,1210,87,0,85,590,0,514,-9999999,0,122,11,68
STATE,CAMPUS,2017-2018,21901042,A & M CONSOLIDATED MIDDLE,JUNIOR HIGH SCHOOL,21901,COLLEGE STATION ISD,6,21,BRAZOS COUNTY,911,145,248,81,0,80,398,0,287,-9999999,-9999999,100,15,48
STATE,CAMPUS,2017-2018,77901101,A B DUNCAN EL,ELEMENTARY,77901,FLOYDADA ISD,17,77,FLOYD COUNTY,461,10,0,54,0,50,367,461,298,8,-9999999,34,9,14
STATE,CAMPUS,2017-2018,147903103,A B MCBAY EL,ELEMENTARY,147903,MEXIA ISD,12,147,LIMESTONE COUNTY,463,-9999999,0,124,93,28,370,463,321,-9999999,-9999999,53,16,5
STATE,CAMPUS,2017-2018,205901041,A C BLUNT MIDDLE,MIDDLE SCHOOL,205901,ARANSAS PASS ISD,2,205,SAN PATRICIO COUNTY,348,9,0,25,0,23,249,348,212,-9999999,-9999999,29,21,23
STATE,CAMPUS,2017-2018,13901001,A C JONES H S,HIGH SCHOOL,13901,BEEVILLE ISD,2,13,BEE COUNTY,1033,54,787,17,0,6,593,1033,653,0,7,110,-9999999,14
STATE,CAMPUS,2017-2018,116908101,A E BUTLER INT,ELEMENTARY,116908,QUINLAN ISD,10,116,HUNT COUNTY,559,25,0,74,0,74,376,0,315,-9999999,-9999999,58,10,30
